Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6,effort_7,effort_8,effort_9,effort_10,effort_11,effort_12,effort_13,effort_14,effort_15
1646244229.946149,7675,1646244229,945863346,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.0917438492178917,0.9933366775512695,-2.2397384643554688,-0.2171594202518463,0.9203460216522217,-2.150059700012207,0.032913148403167725,1.02439546585083,-2.235018491744995,-0.16637791693210602,0.957768440246582,-2.14660382270813,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034340659622102976,-0.003434065729379654,0.08585164695978165,-0.005151099059730768,0.054086536169052124,-0.012877747416496277,0.007726648356765509,0.1674107015132904,-0.0,-0.12362637370824814,0.0,0.0,0.0,0.0,-2.05859375,1.20703125,6.89453125,2.8046875,0.7109375,4.62109375,-3.33984375,1.3125,9.2421875,3.375,0.81640625,7.03515625,29.6,30.8,57.6,36.0
1646244229.986859,7676,1646244229,948116006,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.0917438492178917,0.9933788776397705,-2.2396962642669678,-0.2171594202518463,0.9203040599822998,-2.150017499923706,0.032913148403167725,1.02439546585083,-2.235060691833496,-0.16637791693210602,0.957768440246582,-2.146561622619629,0.0,0.0,0.0,0.0,0.018887361511588097,0.1631181389093399,0.13307005167007446,-0.054086536169052124,-0.08413461595773697,0.14251373708248138,-0.053228020668029785,-0.053228020668029785,-0.019745878875255585,0.06009615212678909,-0.05065247416496277,0.07383241504430771,0.0,0.0,0.0,0.0,-2.16796875,1.2421875,7.03515625,2.734375,0.88671875,4.62109375,-3.41015625,1.3125,9.34765625,3.5546875,0.671875,7.28515625,29.4,31.2,57.8,36.0
1646244229.9868932,7677,1646244229,950358018,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.0917438492178917,0.9933366775512695,-2.2397384643554688,-0.2171594202518463,0.9203460216522217,-2.150017499923706,0.03287100791931152,1.02439546585083,-2.235060691833496,-0.16637791693210602,0.957810640335083,-2.146561622619629,0.0,0.0,0.0,0.0,0.10989010334014893,-0.03262362629175186,-0.0223214291036129,-0.09271977841854095,0.030048077926039696,0.0669642835855484,-0.11504120379686356,-0.020604396238923073,-0.08585164695978165,0.05494505167007446,0.14337225258350372,0.07039835304021835,0.0,0.0,0.0,0.0,-2.16796875,1.3828125,6.82421875,2.94921875,0.78125,4.65625,-3.26953125,1.3125,9.3125,3.08984375,0.95703125,7.1796875,29.6,31.4,58.0,36.0
1646244229.9869053,7678,1646244229,952582421,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.0917438492178917,0.9932944774627686,-2.2397384643554688,-0.2171594202518463,0.9203460216522217,-2.150059700012207,0.032913148403167725,1.02439546585083,-2.235060691833496,-0.16637791693210602,0.957810640335083,-2.146561622619629,0.0,0.0,0.0,0.0,0.048935435712337494,-0.09958790987730026,-0.052369505167007446,-0.01631181314587593,-0.0,-0.0034340659622102976,-0.03949175775051117,-0.019745878875255585,-0.02747252769768238,0.02317994460463524,0.1339285671710968,0.02146291173994541,0.0,0.0,0.0,0.0,-2.09375,1.421875,6.89453125,2.59375,1.06640625,4.76171875,-3.234375,1.06640625,9.2421875,3.375,0.88671875,7.1796875,29.6,31.8,58.0,36.0
1646244229.9869165,7679,1646244229,954813096,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.0917438492178917,0.9932522773742676,-2.2397384643554688,-0.2171594202518463,0.9203460216522217,-2.150059700012207,0.032913148403167725,1.02439546585083,-2.235018491744995,-0.16637791693210602,0.957810640335083,-2.14660382270813,0.0,0.0,0.0,0.0,0.06953983008861542,-0.11332418024539948,-0.09958790987730026,-0.07383241504430771,0.01373626384884119,-0.020604396238923073,0.007726647891104221,-0.002575549529865384,0.16998626291751862,0.024038460105657578,0.06353022158145905,-0.10130494832992554,0.0,0.0,0.0,0.0,-2.09375,1.27734375,6.9296875,2.5234375,0.81640625,4.65625,-3.33984375,1.1015625,8.95703125,3.4453125,1.02734375,7.25,29.4,32.0,57.8,36.2
1646244229.9869273,7680,1646244229,957198690,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.09170170873403549,0.9932522773742676,-2.2397384643554688,-0.2171594202518463,0.9203460216522217,-2.150059700012207,0.032913148403167725,1.02439546585083,-2.235018491744995,-0.16637791693210602,0.957810640335083,-2.14660382270813,0.0,0.0,0.0,0.0,-0.025755492970347404,-0.024038461968302727,-0.03777472674846649,-0.003434065729379654,-0.012877747416496277,-0.01631181314587593,-0.003434065729379654,0.014594780281186104,-0.024038461968302727,-0.0,0.0017170329811051488,-0.06868132203817368,0.0,0.0,0.0,0.0,-2.16796875,1.1015625,6.7890625,2.6640625,0.74609375,4.65625,-3.19921875,1.171875,9.0625,3.73046875,0.95703125,7.25,29.4,32.0,57.6,36.4
1646244229.9869814,7681,1646244229,959448316,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.09170170873403549,0.9932103157043457,-2.2396962642669678,-0.2171594202518463,0.9203882217407227,-2.150059700012207,0.032913148403167725,1.0243535041809082,-2.235060691833496,-0.16637791693210602,0.957810640335083,-2.14660382270813,0.0,0.0,0.0,0.0,0.0008585164323449135,-0.11675824224948883,0.02317994460463524,0.08756867796182632,0.0008585164905525744,-0.01373626384884119,-0.09014422446489334,-0.07297389954328537,-0.036057692021131516,-0.018887361511588097,-0.0,-0.0334821417927742,0.0,0.0,0.0,0.0,-2.23828125,1.171875,6.96484375,2.5234375,0.88671875,4.69140625,-3.08984375,0.9921875,9.2421875,3.58984375,1.02734375,7.42578125,29.4,32.0,57.4,36.8
1646244229.9870172,7682,1646244229,961732506,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.09170170873403549,0.9931681156158447,-2.2397384643554688,-0.2171594202518463,0.9204304218292236,-2.150017499923706,0.032955288887023926,1.0243535041809082,-2.235060691833496,-0.16633577644824982,0.957895040512085,-2.14660382270813,0.0,0.0,0.0,0.0,0.178571417927742,0.0,-0.10302197933197021,0.0,0.002575549529865384,0.07125686854124069,0.007726647891104221,-0.1073145642876625,-0.0017170329811051488,-0.024038460105657578,0.13478708267211914,-0.08756868541240692,0.0,0.0,0.0,0.0,-2.203125,1.02734375,6.9296875,2.55859375,0.9921875,4.796875,-3.16015625,1.13671875,9.0625,3.41015625,1.20703125,7.28515625,29.2,32.0,57.4,37.2
1646244229.9874673,7683,1646244229,963991017,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.0916595607995987,0.9930837154388428,-2.2396962642669678,-0.2171594202518463,0.9204304218292236,-2.150059700012207,0.03299742937088013,1.0243535041809082,-2.235018491744995,-0.16633577644824982,0.957895040512085,-2.14660382270813,0.0,0.0,0.0,0.0,0.06353021413087845,-0.04979395493865013,0.0008585164905525744,0.11074861884117126,0.0017170329811051488,-0.052369505167007446,0.0025755492970347404,-0.05065247416496277,0.08413461595773697,0.03519917279481888,0.04635988920927048,-0.06524725258350372,0.0,0.0,0.0,0.0,-2.4140625,0.9921875,6.859375,2.34375,1.13671875,4.90234375,-3.26953125,1.02734375,9.27734375,3.48046875,0.95703125,7.3203125,29.0,32.0,57.2,37.4
1646244229.987492,7684,1646244229,966227757,,"['FL0', 'FL1', 'FL2', 'FR0', 'FR1', 'FR2', 'RL0', 'RL1', 'RL2', 'RR0', 'RR1', 'RR2', 'FL_foot', 'FR_foot', 'RL_foot', 'RR_foot']",0.09157527983188629,0.9930417537689209,-2.2396962642669678,-0.21720156073570251,0.9204726219177246,-2.150017499923706,0.03299742937088013,1.02439546585083,-2.235060691833496,-0.16633577644824982,0.957895040512085,-2.14660382270813,0.0,0.0,0.0,0.0,-0.16655218601226807,0.07469093799591064,0.0,0.06267169862985611,0.1073145642876625,0.14337225258350372,-0.007726647891104221,0.15024039149284363,-0.004292582627385855,-0.13221153616905212,0.0008585164905525744,-0.08070054650306702,0.0,0.0,0.0,0.0,-2.203125,1.02734375,6.9296875,2.55859375,0.9921875,4.8671875,-3.234375,1.13671875,9.09765625,3.765625,0.95703125,7.21484375,29.0,32.0,57.2,37.4
